type,allergen,day,instructions
plne kojene dite (bez prikrmu),Lepek,1. den,maminka: 50 g bezvaječných těstovin nebo 50 g kuskusu
plne kojene dite (bez prikrmu),Lepek,2. den,maminka: 100 g bezvaječných těstovin nebo 100 g kuskusu
plne kojene dite (bez prikrmu),Lepek,3. den,maminka: neomezené množství bezvaječných těstovin nebo kuskusu
kojene dite + prikrmy,Lepek,1. den,maminka: 50 g bezvaječných těstovin nebo 50 g kuskusu; dítě: hypoalergenní příkrmy (žádný lepek)
kojene dite + prikrmy,Lepek,2. den,maminka: 50 g bezvaječných těstovin nebo 50 g kuskusu; dítě: 1 kousek bezvaječné těstoviny nebo půl lžičky kuskusu
kojene dite + prikrmy,Lepek,3. den,maminka: neomezené množství bezvaječných těstovin nebo kuskusu; dítě: 2 kusy bezvaječných těstovin nebo 1 lžička kuskusu
kojene dite + prikrmy,Lepek,4. den,maminka: neomezené množství bezvaječných těstovin nebo kuskusu; dítě: neomezené množství bezvaječných těstovin nebo kuskusu
dite plne na prikrmech,Lepek,1. den,dítě: malý kousíček bezvaječné těstoviny nebo špičku lžičky kuskusu
dite plne na prikrmech,Lepek,2. den,dítě: 1 kus bezvaječné těstoviny (např. jedno kolínko) nebo půl lžičky kuskusu
dite plne na prikrmech,Lepek,3. den,dítě: 2 kusy bezvaječných těstovin nebo 1 lžička kuskusu
dite plne na prikrmech,Lepek,4. den,dítě: neomezené množství bezvaječných těstovin nebo kuskusu
