type,allergen,day,instructions
plne kojene dite (bez prikrmu),Exotické ovoce,1. den,maminka: 1 banán
plne kojene dite (bez prikrmu),Exotické ovoce,2. den,maminka: 2 banány
plne kojene dite (bez prikrmu),Exotické ovoce,3. den,"maminka: neomezené množství výše uvedeného exotického ovoce (např. ovocný salát z banánu, manga a kiwi)"
kojene dite + prikrmy,Exotické ovoce,1. den,maminka: 1 banán; dítě: hypoalergenní příkrmy (žádné tropické ovoce)
kojene dite + prikrmy,Exotické ovoce,2. den,maminka: 2 banány; dítě: 1 lžička banánu
kojene dite + prikrmy,Exotické ovoce,3. den,maminka: neomezené množství výše uvedeného exotického ovoce; dítě: 2—3 lžičky banánu
kojene dite + prikrmy,Exotické ovoce,4. den,maminka: neomezené množství výše uvedeného exotického ovoce; dítě: neomezené množství výše uvedeného exotického ovoce
dite plne na prikrmech,Exotické ovoce,1. den,dítě: půl lžičky banánu
dite plne na prikrmech,Exotické ovoce,2. den,dítě: 1 lžička banánu
dite plne na prikrmech,Exotické ovoce,3. den,dítě: 2—3 lžičky banánu
dite plne na prikrmech,Exotické ovoce,4. den,dítě: neomezené množství výše uvedeného exotického ovoce
