type,allergen,day,instructions
plne kojene dite (bez prikrmu),Ryby,1. den,maminka: 80—100 g ryby
plne kojene dite (bez prikrmu),Ryby,2. den,maminka: 100—130 g ryby
plne kojene dite (bez prikrmu),Ryby,3. den,maminka: neomezené množství ryby
kojene dite + prikrmy,Ryby,1. den,maminka: 80—100 g ryby; dítě: hypoalergenní příkrmy (žádná ryba)
kojene dite + prikrmy,Ryby,2. den,maminka: 100—130 g ryby; dítě: 1 lžičku ryby
kojene dite + prikrmy,Ryby,3. den,maminka: neomezené množství ryby; dítě: 2—3 lžičky ryby
kojene dite + prikrmy,Ryby,4. den,maminka: neomezené množství ryby; dítě: neomezené množství ryby
dite plne na prikrmech,Ryby,1. den,dítě: 1 lžička ryby
dite plne na prikrmech,Ryby,2. den,dítě: 2—3 lžičky ryby
dite plne na prikrmech,Ryby,3. den,dítě: neomezené množství ryby
