type,allergen,day,instructions
plne kojene dite (bez prikrmu),Citrusy,1. den,maminka: 50 g kteréhokoli citrusu
plne kojene dite (bez prikrmu),Citrusy,2. den,maminka: 70—100 g kteréhokoli citrusu
plne kojene dite (bez prikrmu),Citrusy,3. den,maminka: neomezené množství výše uvedených citrusů
kojene dite + prikrmy,Citrusy,1. den,maminka: 50 g kteréhokoli citrusu; dítě: hypoalergenní příkrmy (žádné citrusy)
kojene dite + prikrmy,Citrusy,2. den,"maminka: 70—100 g kteréhokoli citrusu; dítě: dítěti dáme „ožužlat“ půl dílku mandarinky nebo třetinu dílku pomeranče; jestliže dítě ještě nekouše, lze mu dát 1 lžičku mandarinkové šťávy"
kojene dite + prikrmy,Citrusy,3. den,"maminka: neomezené množství výše uvedených citrusů; dítě: dítěti dáme „ožužlat“ 1 dílek mandarinky nebo půl dílku pomeranče, případně 2—3 lžičky mandarinkové nebo pomerančové šťávy"
kojene dite + prikrmy,Citrusy,4. den,"maminka: neomezené množství výše uvedených citrusů; dítě: neomezená dávka citrusů ve formě, která vyhovuje dítěti"
dite plne na prikrmech,Citrusy,1. den,dítě: čtvrt lžičky mandarinkové/pomerančové šťávy
dite plne na prikrmech,Citrusy,2. den,"dítě: dítěti dáme „ožužlat“ půl dílku mandarinky nebo třetinu dílku pomeranče; jestliže dítě ještě nekouše, lze mu dát 1 lžičku mandarinkové šťávy"
dite plne na prikrmech,Citrusy,3. den,"dítě: dítěti dáme „ožužlat“ 1 dílek mandarinky nebo půl dílku pomeranče, případně 2—3 lžičky mandarinkové nebo pomerančové šťávy"
dite plne na prikrmech,Citrusy,4. den,"dítě: neomezená dávka citrusů ve formě, která vyhovuje dítěti"
