type,allergen,day,instructions
plne kojene dite (bez prikrmu),Kořenová zelenina,1. den,maminka: 1 ks syrové mrkve (cca 70—120 g)
plne kojene dite (bez prikrmu),Kořenová zelenina,2. den,maminka: 2—3 ks syrové mrkve nebo 150—200 ml vývaru z kořenové zeleniny
plne kojene dite (bez prikrmu),Kořenová zelenina,3. den,maminka: neomezené množství mrkve či vývaru z kořenové zeleniny
kojene dite + prikrmy,Kořenová zelenina,1. den,maminka: 1 ks syrové mrkve (cca 70—120 g); dítě: pouze hypoalergenní příkrmy
kojene dite + prikrmy,Kořenová zelenina,2. den,maminka: 2—3 ks syrové mrkve nebo 150—200 ml vývaru z kořenové zeleniny; dítě: 1 lžička vařené mrkve
kojene dite + prikrmy,Kořenová zelenina,3. den,maminka: neomezené množství mrkve nebo vývaru z kořenové zeleniny; dítě: 2 lžičky vařené mrkve nebo 1 lžička syrové mrkve
kojene dite + prikrmy,Kořenová zelenina,4. den,maminka: neomezené množství mrkve nebo vývaru z kořenové zeleniny; dítě: neomezené množství mrkve nebo vývaru z kořenové zeleniny
dite plne na prikrmech,Kořenová zelenina,1. den,dítě: čtvrt lžičky vařené mrkve
dite plne na prikrmech,Kořenová zelenina,2. den,dítě: půl lžičky až 1 lžička vařené mrkve
dite plne na prikrmech,Kořenová zelenina,3. den,dítě: 2 lžičky vařené mrkve nebo 1 lžička syrové mrkve
dite plne na prikrmech,Kořenová zelenina,4. den,dítě: neomezené množství mrkve nebo vývaru z kořenové zeleniny
