type,allergen,day,instructions
plne kojene dite (bez prikrmu),Vejce,1. den,"maminka: 1 žloutek (např. vejce natvrdo a sníst pouze žloutek, bílek NE)"
plne kojene dite (bez prikrmu),Vejce,2. den,"maminka: 50 g piškotů (lze Opavia), případně buchty či kteréhokoli jiného výrobku, v jehož složení je vejce"
plne kojene dite (bez prikrmu),Vejce,3. den,"maminka: vejce v libovolné formě (míchaná vejce, volské oko či vařené vajíčko)"
kojene dite + prikrmy,Vejce,1. den,"maminka: 1 žloutek (např. vejce natvrdo a sníst pouze žloutek, bílek NE); dítě: pouze hypoalergenní příkrmy"
kojene dite + prikrmy,Vejce,2. den,"maminka: 50 g piškotů (lze Opavia), případně buchty či kteréhokoli jiného výrobku, v jehož složení je vejce; dítě: půl lžičky žloutku"
kojene dite + prikrmy,Vejce,3. den,maminka: neomezené množství pečených vajec ve formě výrobku typu piškotu; dítě: 1 ks vaječné těstoviny nebo polovina piškotu
kojene dite + prikrmy,Vejce,4. den,"maminka: libovolná forma vajíčka (míchaná vejce, volské oko či vařené vajíčko); dítě: 2—5 ks vaječných těstovin nebo 1—3 ks piškotů"
dite plne na prikrmech,Vejce,1. den,dítě: na špičku lžičky žloutku — postupujte extrémně opatrně!
dite plne na prikrmech,Vejce,2. den,dítě: 1 ks vaječné těstoviny nebo polovina piškotu
dite plne na prikrmech,Vejce,3. den,dítě: 2—3 ks vaječných těstovin nebo 1—2 ks piškotů
dite plne na prikrmech,Vejce,4. den,dítě: neomezená dávka vaječných těstovin nebo piškotů
